,cites,doi,emp_study_num,study_idx,title,year
21,34,10.5194/bg-10-555-2013,1222,53,Ocean acidification shows negligible impacts on high-latitude bacterial community structure in coastal pelagic mesocosms,2013
22,34,10.5194/bg-10-555-2013,1235,54,Ocean acidification shows negligible impacts on high-latitude bacterial community structure in coastal pelagic mesocosms,2013
23,377,10.1038/ismej.2011.107,1240,55,Defining seasonal marine microbial community dynamics,2012
24,36,10.1038/ismej.2012.118,1242,56,"A decade of seasonal dynamics and co-occurrences within freshwater bacterioplankton communities from eutrophic Lake Mendota, WI, USA",2013
25,3,10.1016/j.gecco.2016.06.004,1453,59,Using the gut microbiota as a novel tool for examining colobine primate GI health,2016
26,52,10.3945/ajcn.114.088120,1481,60,Whole-grain wheat consumption reduces inflammation in a randomized controlled trial on overweight and obese subjects with unhealthy dietary and lifestyle  …,2015
27,10,10.1111/1758-2229.12301,1578,63,Changes in microbial communities along redox gradients in polygonized Arctic wet tundra soils,2015
28,150,10.1111/j.1462-2920.2012.02799.x,1627,68,Geographic distance and pH drive bacterial distribution in alkaline lake sediments across Tibetan Plateau,2012
29,25,10.1111/j.1474-919X.2012.01256.x*,1632,69,Avian life history traits influence eggshell bacterial loads: a comparative analysis,2012
30,19,10.1371/journal.pone.0090785*,1665,71,Humpback whale populations share a core skin bacterial community: towards a health index for marine mammals?,2014
31,9,10.1038/ismej.2015.152,1674,73,Urban stress is associated with variation in microbial species composition—but not richness—in Manhattan,2016
32,4,10.3390/min3030318,1692,74,Potentiostatically poised electrodes mimic iron oxide and interact with soil microbial communities to alter the biogeochemistry of Arctic peat soils,2013
33,3,10.1016/j.gecco.2016.06.004,1696,76,Using the gut microbiota as a novel tool for examining colobine primate GI health,2016
34,32,10.1016/j.mimet.2015.03.021,1696,76,Sample storage conditions significantly influence faecal microbiome profiles,2015
35,174,10.1016/j.soilbio.2012.07.013,1702,77,Soil pH drives the spatial distribution of bacterial communities along elevation on Changbai Mountain,2013
36,14,10.1111/1365-2664.12416,1711,78,Agricultural intensification and the functional capacity of soil microbes on smallholder African farms,2015
37,16,10.1007/s00248-014-0468-4,1714,80,Responses of soil fungi to logging and oil palm agriculture in Southeast Asian tropical forests,2015
38,62,10.1007/s00248-011-9973-x*,1716,82,Fungal community composition in neotropical rain forests: the influence of tree diversity and precipitation,2012
39,14,10.1111/1365-2664.12416,1717,83,Agricultural intensification and the functional capacity of soil microbes on smallholder African farms,2015
40,44,10.1016/j.agee.2014.04.006,1721,84,Comparative analysis of the microbial communities in agricultural soil amended with enhanced biochars or traditional fertilisers,2014
41,3,10.1128/mSystems.00046-16,1747,87,The Oral and Skin Microbiomes of Captive Komodo Dragons Are Significantly Shared with Their Habitat,2016
42,142,10.1016/B978-0-12-407863-5.00019-8,1795,91,Advancing our understanding of the human microbiome using QIIME,2013
43,88,10.1038/ismej.2012.9,1883,93,Microbial diversity in arctic freshwaters is structured by inoculation of microbes from soils,2012
44,3,10.1016/j.gecco.2016.06.004,2182,95,Using the gut microbiota as a novel tool for examining colobine primate GI health,2016
45,32,10.1016/j.mimet.2015.03.021,2182,95,Sample storage conditions significantly influence faecal microbiome profiles,2015
46,7,10.1016/j.mimet.2016.09.017,2182,95,Effects of field conditions on fecal microbiota,2016
47,208,10.1126/science.1254529,2192,96,Longitudinal analysis of microbial interaction between humans and the indoor environment,2014
48,12,10.1111/1462-2920.12972,2229,97,"Continental‐scale variation in seaweed host‐associated bacterial communities is a function of host condition, not geography",2015
49,73,10.1128/mBio.02527-14,2382,101,The soil microbiome influences grapevine-associated microbiota,2015
50,0,10.1126/scitranslmed.aah6500,10172,105,Bacterial colonization and succession in a newly opened hospital,2017
51,2,10.1186/s10152-016-0464-9*,10247,109,Spatiotemporal variation of the bacterioplankton community in the German Bight: from estuarine to offshore regions,2016
52,0,10.1101/090225,10248,110,Seasonal succession influences the functioning of a host-associated microbial food web,2016
53,41,10.1038/ncomms11870,10346,116,"Diversity, structure and convergent evolution of the global sponge microbiome",2016
54,26,10.3389/fpls.2015.00113,10363,117,Selenium hyperaccumulators harbor a diverse endophytic bacterial community characterized by high selenium resistance and plant growth promoting  …,2015
55,4,10.1098/rsbl.2016.0352,10522,118,"Stress response, gut microbial diversity and sexual signals correlate with social interactions",2016
56,41,10.1038/ncomms11870,10533,119,"Diversity, structure and convergent evolution of the global sponge microbiome",2016
57,2,10.3389/fmicb.2017.00175*,10809,122,Diversity and distribution of freshwater aerobic anoxygenic phototrophic bacteria across a wide latitudinal gradient,2017
